id,titulo,categoria,fecha,fecha_limite,municipios,url,area_km2,riesgo_medio,riesgo_max,mes_pico,pct_celdas_con_infra,max_electro,max_col_lin,max_col_aer
BOC-2026-6520,Información pública del expediente de solicitud de autorización para construcción del parque eólico Somalona-Las Quemadas y sus infraestruct,eolica,2026-08-19,2026-09-09,"Campoo de Enmedio, Valdeprado del Río, Valdeolea",https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=439416,264.2,25.5,329.2,sep,35.3,321.3,328.6,8.1
BOC-2026-6631,Información pública del expediente de solicitud de autorización administrativa previa y declaración de impacto ambiental del proyecto del pa,eolica,2026-08-21,2026-10-05,Campoo de Enmedio,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=439619,91.1,34.9,254.6,ago,34.8,175.8,328.6,8.1
BOE-B-2026-28317,"Anuncio de la Autoridad Portuaria de Santander, por el que se somete a información pública la solicitud presentada por Iberdrola Clientes, S",puertos_costas,2026-09-01,2026-09-29,Santander,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-28317,35.6,7.6,89.5,jun,24.6,127.1,79.7,0.0
BOC-2026-5932,Información pública del expediente de solicitud de autorización administrativa previa y autorización administrativa de construcción del proy,hidrogeno_baterias,2026-07-27,2026-08-25,Camargo,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=438504,37.1,8.7,87.0,jun,70.0,105.0,79.7,0.0
BOC-2026-6734,Información pública del expediente de solicitud de autorización para planta de valorización y tratamiento de residuos de construcción y demo,urbanismo_industria,2026-08-28,2026-09-21,Camargo,https://boc.cantabria.es/boces/verAnuncioAction.do?idAnuBlob=439796,37.1,8.7,87.0,jun,70.0,105.0,79.7,0.0
BOE-B-2026-27789,Anuncio del ADIF-Alta Velocidad para la subsanación de errores en la Información Pública a efectos de declaración de la necesidad de ocupaci,transporte,2026-08-25,2026-10-06,"Lantarón, Ribera Baja",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-27789,93.2,13.3,69.3,nov,39.3,26.1,124.5,0.0
BOE-B-2026-27790,Anuncio de la Demarcación de Carreteras del Estado en Extremadura por el que se publica la Resolución de la Dirección General de Carreteras ,transporte,2026-08-25,2026-10-06,Herrera del Duque,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-27790,277.7,,,,,,,
BOE-B-2026-27793,"Anuncio de la Confederación Hidrográfica del Guadalquivir, O.A., de información pública de procedimiento de concesión de aguas públicas para",hidraulica,2026-08-25,2026-09-22,Adamuz,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-27793,335.4,,,,,,,
BOE-B-2026-27794,"Anuncio de la Confederación Hidrográfica del Miño-Sil, O.A. de información pública del expediente de autorización para la navegación de dos ",hidraulica,2026-08-25,2026-10-06,"O Saviñao, Chantada, Carballedo, Pantón, Monforte de Lemos, Sober",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-27794,988.8,,,,,,,
BOE-B-2026-27838,Anuncio de la Demarcación de Carreteras del Estado en Aragón sobre aprobación provisional e incoación del expediente de Información Pública ,transporte,2026-08-26,2026-10-07,"El Burgo de Ebro, Fuentes de Ebro",https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-27838,166.7,,,,,,,
BOE-B-2026-27851,Anuncio de la Demarcación de Costas de Canarias en el trámite de información pública sobre expedientes de concesión para la determinación de,puertos_costas,2026-08-26,2026-09-23,La Oliva,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-27851,360.9,,,,,,,
