tipo,osm_id,osm_url,lat,lon,mecanismo,categoria,voltaje,detalle,operador,peligro,riesgo_max,riesgo_medio,mes_pico,especies
apoyo,11360367676,https://www.openstreetmap.org/node/11360367676,42.9424918,-3.5759296,electrocucion,distribucion,,portal,,1.43,568.8661396169923,316.21705921766693,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,12993340880,https://www.openstreetmap.org/node/12993340880,42.8157831,-3.5369418,electrocucion,distribucion,,portal,,1.3,567.4953696833303,185.53847022970692,feb,"Halcón peregrino, Águila real, Milano real"
linea,762327626,https://www.openstreetmap.org/way/762327626,43.25299999999999,-4.5771159,colision_linea,distribucion,12000.0,minor_line,,,485.76175862039895,245.3099830088263,jul,"Águila calzada, Abejero europeo, Culebrera europea"
apoyo,8446656317,https://www.openstreetmap.org/node/8446656317,42.943646,-3.5753063,electrocucion,distribucion,,pole,,1.1,437.58933816691723,243.24389170589765,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,11360533520,https://www.openstreetmap.org/node/11360533520,42.9432432,-3.5752464,electrocucion,distribucion,,pole,,1.1,437.58933816691723,243.24389170589765,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,8446656316,https://www.openstreetmap.org/node/8446656316,42.942383,-3.5754253,electrocucion,distribucion,,pole,,1.1,437.58933816691723,243.24389170589765,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,10015355836,https://www.openstreetmap.org/node/10015355836,42.943292,-3.575708,electrocucion,distribucion,,pole,,1.1,437.58933816691723,243.24389170589765,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,11360360425,https://www.openstreetmap.org/node/11360360425,42.942203,-3.5758242,electrocucion,distribucion,,pole,,1.1,437.58933816691723,243.24389170589765,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,8407002194,https://www.openstreetmap.org/node/8407002194,42.9426995,-3.5753696,electrocucion,distribucion,,pole,,1.1,437.58933816691723,243.24389170589765,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,8454483513,https://www.openstreetmap.org/node/8454483513,42.815075,-3.5361638,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,7740516489,https://www.openstreetmap.org/node/7740516489,42.81744,-3.5358109,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,7740504271,https://www.openstreetmap.org/node/7740504271,42.8183061,-3.5393169,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,7741045702,https://www.openstreetmap.org/node/7741045702,42.8181152,-3.5352636,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,7741045703,https://www.openstreetmap.org/node/7741045703,42.8167897,-3.5363488,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,7740504269,https://www.openstreetmap.org/node/7740504269,42.8170905,-3.538808,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,7740504270,https://www.openstreetmap.org/node/7740504270,42.8175156,-3.5393896,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,7741045704,https://www.openstreetmap.org/node/7741045704,42.8161079,-3.5371353,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,7741045705,https://www.openstreetmap.org/node/7741045705,42.8155534,-3.5364747,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,8454483498,https://www.openstreetmap.org/node/8454483498,42.8191915,-3.5392274,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,8454483515,https://www.openstreetmap.org/node/8454483515,42.8162068,-3.5394384,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,8454483514,https://www.openstreetmap.org/node/8454483514,42.8157337,-3.5382783,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,8454483497,https://www.openstreetmap.org/node/8454483497,42.815351,-3.5373502,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,12993331808,https://www.openstreetmap.org/node/12993331808,42.815351,-3.5373502,electrocucion,desconocida,,tower,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,12993329025,https://www.openstreetmap.org/node/12993329025,42.8159944,-3.5383464,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,12993329026,https://www.openstreetmap.org/node/12993329026,42.8157691,-3.5383139,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,12993331807,https://www.openstreetmap.org/node/12993331807,42.8156735,-3.5374396,electrocucion,distribucion,,pole,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,12993340882,https://www.openstreetmap.org/node/12993340882,42.815851,-3.5370558,electrocucion,distribucion,,tower,,1.0,436.53489975640787,142.72190017669763,feb,"Halcón peregrino, Águila real, Milano real"
apoyo,12027869855,https://www.openstreetmap.org/node/12027869855,43.252558,-3.8389865,electrocucion,distribucion,12000.0,tower,,2.0,426.0340757565596,198.95635116328137,ene,"Milano real, Garza real, Buitre leonado"
apoyo,8407002198,https://www.openstreetmap.org/node/8407002198,42.9400509,-3.579104,electrocucion,distribucion,,pole,,1.0,397.808489242652,221.13081064172516,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,8407002193,https://www.openstreetmap.org/node/8407002193,42.9405888,-3.5793928,electrocucion,distribucion,,pole,,1.0,397.808489242652,221.13081064172516,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,8407002196,https://www.openstreetmap.org/node/8407002196,42.941373,-3.5774052,electrocucion,distribucion,,pole,,1.0,397.808489242652,221.13081064172516,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,8407002192,https://www.openstreetmap.org/node/8407002192,42.9413011,-3.5797633,electrocucion,distribucion,,pole,,1.0,397.808489242652,221.13081064172516,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,8407002195,https://www.openstreetmap.org/node/8407002195,42.9419028,-3.5766955,electrocucion,distribucion,,pole,,1.0,397.808489242652,221.13081064172516,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,8407002197,https://www.openstreetmap.org/node/8407002197,42.9408136,-3.5780991,electrocucion,distribucion,,pole,,1.0,397.808489242652,221.13081064172516,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,10572808543,https://www.openstreetmap.org/node/10572808543,42.9407326,-3.5754299,electrocucion,desconocida,,pole,,1.0,397.808489242652,221.13081064172516,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,11472799916,https://www.openstreetmap.org/node/11472799916,42.9407009,-3.5754616,electrocucion,desconocida,,tower,,1.0,397.808489242652,221.13081064172516,feb,"Cigüeña blanca, Milano real, Buitre leonado"
apoyo,12029512710,https://www.openstreetmap.org/node/12029512710,43.2718326,-3.796682,electrocucion,distribucion,12000.0,tower,,1.86,395.1501061288675,150.3702144942765,feb,"Milano real, Buitre leonado, Milano negro"
linea,762360816,https://www.openstreetmap.org/way/762360816,43.2536461,-4.58527475,colision_linea,distribucion,12000.0,minor_line,,,391.9848441543231,190.08938781322877,jul,"Culebrera europea, Abejero europeo, Águila calzada"
linea,1465685272,https://www.openstreetmap.org/way/1465685272,43.25349023333333,-4.607307133333333,colision_linea,distribucion,30000.0,line,,,386.1774020182208,181.02525671258505,jul,"Culebrera europea, Alimoche, Buitre leonado"
linea,405819608,https://www.openstreetmap.org/way/405819608,43.253305,-4.6089677,colision_linea,transporte,132000.0,line,,,386.1774020182208,181.02525671258505,jul,"Culebrera europea, Alimoche, Buitre leonado"
apoyo,13709223747,https://www.openstreetmap.org/node/13709223747,43.1790434,-4.6013769,electrocucion,distribucion,12000.0,tower,,1.3,373.7696245938425,130.17728966803415,ago,"Culebrera europea, Águila calzada, Alimoche"
apoyo,13324182408,https://www.openstreetmap.org/node/13324182408,43.2522615,-4.6092361,electrocucion,distribucion,12000.0,tower,,1.3,364.00306119416655,171.56289886094916,jul,"Quebrantahuesos, Culebrera europea, Alimoche"
