tipo,osm_id,osm_url,lat,lon,mecanismo,categoria,voltaje,detalle,operador,peligro,riesgo_max,riesgo_medio,mes_pico,especies
apoyo,6294396361,https://www.openstreetmap.org/node/6294396361,36.0536032,-5.5507302,electrocucion,distribucion,20000.0,tower,,1.3,439.24542841870397,196.86907963488886,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,12185925816,https://www.openstreetmap.org/node/12185925816,36.0540694,-5.5501545,electrocucion,distribucion,20000.0,tower,,1.3,439.24542841870397,196.86907963488886,nov,"Buitre negro, Milano real, Águila perdicera"
linea,672162863,https://www.openstreetmap.org/way/672162863,36.05237353333333,-5.551735133333334,colision_linea,distribucion,20000.0,minor_line,,,359.1203062958302,167.80688477283377,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
apoyo,6294396374,https://www.openstreetmap.org/node/6294396374,36.0515107,-5.5524361,electrocucion,distribucion,20000.0,tower,,1.0,337.8810987836184,151.43775356529912,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6394097615,https://www.openstreetmap.org/node/6394097615,36.0539928,-5.5501855,electrocucion,distribucion,66000.0,tower,,1.0,337.8810987836184,151.43775356529912,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6294396376,https://www.openstreetmap.org/node/6294396376,36.0537105,-5.5505528,electrocucion,distribucion,66000.0,tower,,1.0,337.8810987836184,151.43775356529912,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6294396372,https://www.openstreetmap.org/node/6294396372,36.0505451,-5.5532154,electrocucion,distribucion,20000.0,tower,,1.0,337.8810987836184,151.43775356529912,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6294396373,https://www.openstreetmap.org/node/6294396373,36.0509828,-5.5528646,electrocucion,distribucion,20000.0,tower,,1.0,337.8810987836184,151.43775356529912,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6294396362,https://www.openstreetmap.org/node/6294396362,36.0531457,-5.5506695,electrocucion,distribucion,66000.0,tower,,1.0,337.8810987836184,151.43775356529912,nov,"Buitre negro, Milano real, Águila perdicera"
linea,684125290,https://www.openstreetmap.org/way/684125290,36.04264775,-5.5582802000000004,colision_linea,distribucion,20000.0,minor_line,,,295.6018757397991,148.23794659478688,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
apoyo,6294396368,https://www.openstreetmap.org/node/6294396368,36.0488511,-5.5545912,electrocucion,distribucion,20000.0,tower,,1.0,263.29933504647147,120.85165099709343,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6294396370,https://www.openstreetmap.org/node/6294396370,36.0496315,-5.5539664,electrocucion,distribucion,20000.0,tower,,1.0,263.29933504647147,120.85165099709343,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6294396371,https://www.openstreetmap.org/node/6294396371,36.0498896,-5.5537556,electrocucion,distribucion,20000.0,tower,,1.0,263.29933504647147,120.85165099709343,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,4044267631,https://www.openstreetmap.org/node/4044267631,36.0478694,-5.5544034,electrocucion,distribucion,66000.0,tower,,1.0,263.29933504647147,120.85165099709343,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,4044267632,https://www.openstreetmap.org/node/4044267632,36.0496274,-5.5531592,electrocucion,distribucion,66000.0,tower,,1.0,263.29933504647147,120.85165099709343,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6294396369,https://www.openstreetmap.org/node/6294396369,36.0493033,-5.5542382,electrocucion,distribucion,20000.0,tower,,1.0,263.29933504647147,120.85165099709343,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6294396367,https://www.openstreetmap.org/node/6294396367,36.0483715,-5.554978,electrocucion,distribucion,20000.0,tower,,1.0,263.29933504647147,120.85165099709343,nov,"Buitre negro, Milano real, Águila perdicera"
linea,1316644535,https://www.openstreetmap.org/way/1316644535,36.0423397,-5.563248066666667,colision_linea,distribucion,66000.0,line,,,249.74995230606532,121.23199393240806,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
linea,1316644532,https://www.openstreetmap.org/way/1316644532,36.04230646666667,-5.563242566666666,colision_linea,distribucion,66000.0,line,,,249.74995230606532,121.23199393240806,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
linea,1316644531,https://www.openstreetmap.org/way/1316644531,36.04235473333333,-5.563353966666667,colision_linea,distribucion,66000.0,line,,,249.74995230606532,121.23199393240806,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
linea,96914801,https://www.openstreetmap.org/way/96914801,36.041878125000004,-5.563837425,colision_linea,distribucion,66000.0,Línea de alta tensión Getares - KW Tarifa y Pesur - KW Tarifa,,,249.74995230606532,121.23199393240806,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
linea,1316644533,https://www.openstreetmap.org/way/1316644533,36.0422847,-5.563259333333334,colision_linea,distribucion,66000.0,line,,,249.74995230606532,121.23199393240806,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
linea,1316644534,https://www.openstreetmap.org/way/1316644534,36.042426533333334,-5.563232633333333,colision_linea,distribucion,66000.0,line,,,249.74995230606532,121.23199393240806,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
aerogenerador,1968239153,https://www.openstreetmap.org/node/1968239153,36.0820534,-5.6634064,colision_aerogenerador,eolico,,660 kW,,,235.5029404207162,115.36844062964781,sep,"Cigüeña negra, Abejero europeo, Águila calzada"
aerogenerador,1968239253,https://www.openstreetmap.org/node/1968239253,36.0839285,-5.6627694,colision_aerogenerador,eolico,,600 kW,,,235.5029404207162,115.36844062964781,sep,"Cigüeña negra, Abejero europeo, Águila calzada"
aerogenerador,1968239444,https://www.openstreetmap.org/node/1968239444,36.080664,-5.6637725,colision_aerogenerador,eolico,,600 kW,,,235.5029404207162,115.36844062964781,sep,"Cigüeña negra, Abejero europeo, Águila calzada"
aerogenerador,1968239258,https://www.openstreetmap.org/node/1968239258,36.0845506,-5.6625588,colision_aerogenerador,eolico,,600 kW,,,235.5029404207162,115.36844062964781,sep,"Cigüeña negra, Abejero europeo, Águila calzada"
aerogenerador,1968239381,https://www.openstreetmap.org/node/1968239381,36.0800288,-5.6637578,colision_aerogenerador,eolico,,600 kW,,,235.5029404207162,115.36844062964781,sep,"Cigüeña negra, Abejero europeo, Águila calzada"
aerogenerador,1968239135,https://www.openstreetmap.org/node/1968239135,36.0826843,-5.6631945,colision_aerogenerador,eolico,,660 kW,,,235.5029404207162,115.36844062964781,sep,"Cigüeña negra, Abejero europeo, Águila calzada"
aerogenerador,1968239148,https://www.openstreetmap.org/node/1968239148,36.0833096,-5.6629812,colision_aerogenerador,eolico,,660 kW,,,235.5029404207162,115.36844062964781,sep,"Cigüeña negra, Abejero europeo, Águila calzada"
aerogenerador,1968239122,https://www.openstreetmap.org/node/1968239122,36.0814292,-5.663617,colision_aerogenerador,eolico,,660 kW,,,235.5029404207162,115.36844062964781,sep,"Cigüeña negra, Abejero europeo, Águila calzada"
apoyo,6406806910,https://www.openstreetmap.org/node/6406806910,36.0675267,-5.5208217,electrocucion,distribucion,20000.0,pole,,1.1,234.55133121937013,107.88705557102615,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6406806912,https://www.openstreetmap.org/node/6406806912,36.0683982,-5.5212803,electrocucion,distribucion,20000.0,pole,,1.1,234.55133121937013,107.88705557102615,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6406806911,https://www.openstreetmap.org/node/6406806911,36.0679614,-5.5209638,electrocucion,distribucion,20000.0,pole,,1.1,234.55133121937013,107.88705557102615,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6394097657,https://www.openstreetmap.org/node/6394097657,36.0942244,-5.4715053,electrocucion,distribucion,66000.0,tower,,1.0,223.69357586117857,64.90426064575003,oct,"Cigüeña negra, Águila perdicera, Halcón peregrino"
apoyo,6396319956,https://www.openstreetmap.org/node/6396319956,36.0926649,-5.4749505,electrocucion,distribucion,20000.0,tower,,1.0,223.69357586117857,64.90426064575003,oct,"Cigüeña negra, Águila perdicera, Halcón peregrino"
apoyo,6396319957,https://www.openstreetmap.org/node/6396319957,36.0940521,-5.4742612,electrocucion,distribucion,20000.0,tower,,1.0,223.69357586117857,64.90426064575003,oct,"Cigüeña negra, Águila perdicera, Halcón peregrino"
apoyo,6394097656,https://www.openstreetmap.org/node/6394097656,36.0914794,-5.4727779,electrocucion,distribucion,66000.0,tower,,1.0,223.69357586117857,64.90426064575003,oct,"Cigüeña negra, Águila perdicera, Halcón peregrino"
apoyo,4044267627,https://www.openstreetmap.org/node/4044267627,36.0430092,-5.5589891,electrocucion,distribucion,66000.0,tower,,1.0,222.84496023743006,109.08742262764683,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
apoyo,4044267629,https://www.openstreetmap.org/node/4044267629,36.0445227,-5.5574047,electrocucion,distribucion,66000.0,tower,,1.0,222.84496023743006,109.08742262764683,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
apoyo,6408921278,https://www.openstreetmap.org/node/6408921278,36.0422144,-5.5572903,electrocucion,distribucion,20000.0,tower,,1.0,222.84496023743006,109.08742262764683,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
apoyo,6294396365,https://www.openstreetmap.org/node/6294396365,36.0430811,-5.5592701,electrocucion,distribucion,20000.0,tower,,1.0,222.84496023743006,109.08742262764683,oct,"Cigüeña negra, Águila perdicera, Culebrera europea"
aerogenerador,4226781741,https://www.openstreetmap.org/node/4226781741,36.0531411,-5.5135287,colision_aerogenerador,eolico,,500 kW,,,222.28913690900208,102.98110756511981,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
aerogenerador,4226781768,https://www.openstreetmap.org/node/4226781768,36.0537228,-5.5140323,colision_aerogenerador,eolico,,500 kW,,,222.28913690900208,102.98110756511981,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
aerogenerador,2640940926,https://www.openstreetmap.org/node/2640940926,36.0520241,-5.511921,colision_aerogenerador,eolico,,500 kW,,,222.28913690900208,102.98110756511981,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
aerogenerador,4226781799,https://www.openstreetmap.org/node/4226781799,36.0549718,-5.5145345,colision_aerogenerador,eolico,,500 kW,,,222.28913690900208,102.98110756511981,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
aerogenerador,2640940939,https://www.openstreetmap.org/node/2640940939,36.0525637,-5.5124239,colision_aerogenerador,eolico,,500 kW,,,222.28913690900208,102.98110756511981,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
aerogenerador,2640940900,https://www.openstreetmap.org/node/2640940900,36.0508319,-5.5111381,colision_aerogenerador,eolico,,500 kW,,,222.28913690900208,102.98110756511981,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
aerogenerador,4226781789,https://www.openstreetmap.org/node/4226781789,36.0543413,-5.5144266,colision_aerogenerador,eolico,,500 kW,,,222.28913690900208,102.98110756511981,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
aerogenerador,2640940892,https://www.openstreetmap.org/node/2640940892,36.0502581,-5.5107987,colision_aerogenerador,eolico,,500 kW,,,222.28913690900208,102.98110756511981,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
aerogenerador,2640940916,https://www.openstreetmap.org/node/2640940916,36.0512685,-5.5115797,colision_aerogenerador,eolico,,500 kW,,,222.28913690900208,102.98110756511981,nov,"Buitre negro, Águila perdicera, Halcón peregrino"
apoyo,6394097617,https://www.openstreetmap.org/node/6394097617,36.0564016,-5.5421561,electrocucion,distribucion,66000.0,tower,,1.0,217.90879010003778,92.59247937500811,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6394097612,https://www.openstreetmap.org/node/6394097612,36.0583257,-5.5412962,electrocucion,distribucion,20000.0,tower,,1.0,217.90879010003778,92.59247937500811,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,12185925817,https://www.openstreetmap.org/node/12185925817,36.0575543,-5.542858,electrocucion,distribucion,20000.0,tower,,1.0,217.90879010003778,92.59247937500811,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6408921277,https://www.openstreetmap.org/node/6408921277,36.0415432,-5.5602381,electrocucion,distribucion,20000.0,tower,,1.0,214.65838018648293,102.29316548788343,oct,"Cigüeña negra, Águila perdicera, Milano real"
apoyo,6408921276,https://www.openstreetmap.org/node/6408921276,36.0406301,-5.5610763,electrocucion,distribucion,20000.0,tower,,1.0,214.65838018648293,102.29316548788343,oct,"Cigüeña negra, Águila perdicera, Milano real"
apoyo,4044267625,https://www.openstreetmap.org/node/4044267625,36.0418231,-5.5616425,electrocucion,distribucion,66000.0,tower,,1.0,214.65838018648293,102.29316548788343,oct,"Cigüeña negra, Águila perdicera, Milano real"
apoyo,4044267624,https://www.openstreetmap.org/node/4044267624,36.0414143,-5.5641957,electrocucion,distribucion,66000.0,tower,,1.0,214.65838018648293,102.29316548788343,oct,"Cigüeña negra, Águila perdicera, Milano real"
apoyo,1123123013,https://www.openstreetmap.org/node/1123123013,36.0414821,-5.5641951,electrocucion,distribucion,66000.0,tower,,1.0,214.65838018648293,102.29316548788343,oct,"Cigüeña negra, Águila perdicera, Milano real"
apoyo,1123122991,https://www.openstreetmap.org/node/1123122991,36.0422931,-5.5635985,electrocucion,distribucion,66000.0,tower,,1.0,214.65838018648293,102.29316548788343,oct,"Cigüeña negra, Águila perdicera, Milano real"
apoyo,2640940955,https://www.openstreetmap.org/node/2640940955,36.0664836,-5.5245974,electrocucion,distribucion,20000.0,tower,,1.0,213.2284829267001,98.07914142820562,nov,"Buitre negro, Milano real, Águila perdicera"
apoyo,6406806908,https://www.openstreetmap.org/node/6406806908,36.0655244,-5.5202329,electrocucion,distribucion,20000.0,pole,,1.0,213.2284829267001,98.07914142820562,nov,"Buitre negro, Milano real, Águila perdicera"
